oa21cd,oa_median_priceper,oa_mean_priceper,oa_avg_price,transaction_count,postcode_count,source_file_count
E00000211,2516.12903225806,2673.87896418531,195282.2077922078,77,5,1
E00000212,2296.4285714285697,2418.320552884915,153766.92307692306,26,7,1
E00000213,2539.68253968254,2607.9600833875666,166753.60655737706,61,4,1
E00000214,2211.5834583789,2586.4148328243755,179083.2142857143,126,5,1
E00000215,2022.41573033708,2254.832110749932,167745.78651685393,89,4,1
E00000216,2874.5158133762097,3166.7066905303996,220616.42857142858,56,7,1
E00000217,2334.384173919915,2558.9828679346456,201386.91860465117,86,6,1
E00000218,2706.047496318115,2712.05970727353,190791.796875,64,4,1
E00000219,2283.157817796925,2462.614884310183,172110.69444444444,72,2,1
E00000220,1947.71018455229,2072.601162550131,176696.94444444444,90,2,1
E00000221,2534.24657534247,2808.1242152115256,212892.08860759492,79,4,1
E00000222,2236.5433137090004,2277.6227094128103,166688.14772727274,176,5,1
E00000223,2531.3079777365447,2661.8937785008043,150918.2142857143,56,6,1
E00000224,2182.05223880597,2246.0682051026442,160400.17441860464,86,6,1
E00000225,2328.262339418525,2465.63228644945,174452.5,88,4,1
E00000226,2121.999505073,2346.5963927458083,176200.37313432837,67,5,1
E00000227,2618.19269898265,2670.7933745013984,189574.72972972973,111,6,1
E00000228,2038.890730306045,2213.1340928501404,181685.09615384616,156,6,1
E00000229,1954.22743397714,2010.6796216228022,168842.3108108108,148,3,1
E00000230,2285.27899447724,2430.3896524768734,202350.44776119402,67,4,1
E00000231,2549.01960784314,2556.61635650837,215892.6530612245,49,5,1
E00000232,2135.620220900595,2324.2197089950646,187875.30555555556,72,4,1
E00000234,2544.85751143427,2759.5621993990217,192392.20430107528,93,5,1
E00000236,2327.372127501855,2360.614414811578,185538.265625,64,6,1
E00000237,2447.82608695652,2741.736383937821,195630.59523809524,84,9,1
E00000238,1378.25421133231,1487.7470460415916,103658.33333333333,21,3,1
E00000240,2130.4347826087,2216.40836665745,116467.85106382979,47,4,1
E00000243,1400.0,1522.701440286749,103189.63636363637,11,3,1
E00000244,2584.50704225352,3115.3402887296047,206461.51162790696,43,4,1
E00000245,1841.755319148935,1884.740332063302,118299.0,10,3,1
E00000246,2090.6016234282997,2115.8225513079715,168753.25,60,5,1
E00000247,1993.37748344371,1899.8980973860612,176682.68604651163,86,2,1
E00000249,2153.84615384615,2347.514975014974,145145.56962025317,79,4,1
E00000251,1627.21893491124,2455.0923211467443,163509.61538461538,13,3,1
E00000252,2301.355548875625,2409.9611067824085,178196.4,140,5,1
E00000253,2063.49206349206,2269.592783805204,141175.0,107,3,1
E00000255,2368.30773647194,2425.794518698234,162487.93142857144,175,3,1
E00000256,2019.353195823785,2285.3548523671516,154832.91666666666,12,2,1
E00000257,2348.6528864359198,2419.321140475041,181320.17105263157,76,5,1
E00000258,2589.99122036874,2781.996896232997,157806.81818181818,11,3,1
E00000259,2218.9849624060153,2292.3596085198146,161292.22151898735,158,3,1
E00000260,2950.43273013375,3033.1312355634486,189286.6037735849,53,6,1
E00000261,2183.89611929679,2380.4948643420503,167555.60975609755,82,5,1
E00000263,3016.91729323308,3028.289157274243,167335.3052631579,95,7,1
E00000265,1968.02523818036,2173.931705220365,132853.3,100,5,1
E00000266,2182.6145878708703,2328.292012346436,165377.38636363635,88,5,1
E00000267,2308.276984723265,2545.6787584287886,186063.2564102564,78,5,1
E00000268,2393.1125914315553,2645.1448226773005,181185.35714285713,98,2,1
E00000269,2212.684787792085,2416.023938019455,184976.17346938775,98,4,1
E00000270,2255.09487179487,2390.937183852221,176977.59259259258,108,6,1
E00000271,2000.0,2205.3528950972777,162599.77011494254,87,5,1
E00000272,2207.79220779221,2550.759880425934,185087.0,85,3,1
E00000273,2142.78571428571,2247.0473362594,164320.69333333333,75,4,1
E00000274,1870.58823529412,1961.7728978029975,155089.60784313726,51,2,1
E00000275,2359.15492957746,2466.85610275384,167846.58227848102,79,4,1
E00000276,2125.31486146096,2238.3890069093964,135251.79775280898,89,4,1
E00000277,2193.19862000986,2301.731499231457,121367.59541984733,131,3,1
E00000278,1362.10431290497,1794.0650017423804,124711.70588235294,68,4,1
E00000279,2014.07899882675,2278.3328157243423,101740.19108280254,157,3,1
E00000280,2328.227021597185,2453.885612298841,173628.39285714287,84,2,1
E00000282,2187.5,2215.463951073102,156390.50588235294,85,3,1
E00000283,2494.62695732269,2743.6260410758687,190126.0101010101,99,6,1
E00000284,2000.0,2384.411360859037,172638.08421052631,95,3,1
E00000285,2282.7977054235453,2541.278387853073,180931.92857142858,70,4,1
E00000286,2356.6032821047147,2601.571682496118,177204.1739130435,92,4,1
E00000287,2277.954635893355,2553.6849611438683,177658.78787878787,66,3,1
E00000288,2473.34754797441,2842.767303978922,194088.90291262136,103,5,1
E00000289,2106.66666666667,2451.9525890153777,180824.92537313432,67,4,1
E00000290,1894.73684210526,2135.0995841712784,150896.93506493507,77,4,1
E00000291,2249.9761957660203,2495.3765778853253,184439.23611111112,72,3,1
E00000292,2209.85431330823,2234.6014284351836,165340.95744680852,47,4,1
E00000293,2213.579898362505,2466.3080956016706,194684.6739130435,46,2,1
E00000294,2467.666666666665,2558.3651653390652,183771.28846153847,104,4,1
E00000295,2249.547837783135,2431.475999612725,189369.6,90,3,1
E00000296,2192.30769230769,2286.1334117287174,166662.34567901236,81,5,1
